CMDLINE C:\ProgramData\miniconda3\envs\fairseq\python.exe scripts/animal2vec_manifest.py D:\Data\MeerKAT\MeerKAT_10s_2024-06-12 --dest D:\Data\MeerKAT\MeerKAT_10s_2024-06-12\manifest --ext wav --valid-percent 0.2 --n-split 5
MEM 2.031250 1758234128.6895
MEM 20.140625 1758234128.7911
MEM 40.226562 1758234128.9026
MEM 57.648438 1758234129.0130
MEM 75.414062 1758234129.1237
MEM 91.625000 1758234129.2250
MEM 110.023438 1758234129.3251
MEM 123.632812 1758234129.4377
MEM 86.496094 1758234129.5530
MEM 88.070312 1758234129.6634
MEM 91.617188 1758234129.7729
MEM 97.320312 1758234129.8826
MEM 99.527344 1758234129.9872
MEM 108.617188 1758234130.0920
MEM 120.117188 1758234130.2049
MEM 134.132812 1758234130.3203
MEM 151.554688 1758234130.4302
MEM 169.179688 1758234130.5379
MEM 142.304688 1758234130.6487
MEM 143.429688 1758234130.7586
MEM 143.429688 1758234130.8690
MEM 144.109375 1758234130.9804
MEM 144.109375 1758234131.0919
MEM 144.109375 1758234131.2031
MEM 144.109375 1758234131.3087
MEM 144.109375 1758234131.4203
MEM 144.109375 1758234131.5319
MEM 144.109375 1758234131.6434
MEM 144.109375 1758234131.7538
MEM 144.109375 1758234131.8563
MEM 144.109375 1758234131.9674
MEM 144.109375 1758234132.0788
MEM 144.109375 1758234132.1900
MEM 144.109375 1758234132.3011
MEM 144.109375 1758234132.4055
MEM 144.109375 1758234132.5161
MEM 144.109375 1758234132.6271
MEM 144.109375 1758234132.7385
MEM 144.109375 1758234132.8500
MEM 144.109375 1758234132.9543
MEM 144.109375 1758234133.0655
MEM 144.109375 1758234133.1761
MEM 144.109375 1758234133.2867
MEM 144.109375 1758234133.3980
MEM 144.109375 1758234133.5027
MEM 144.109375 1758234133.6130
MEM 144.109375 1758234133.7243
MEM 144.109375 1758234133.8351
MEM 144.109375 1758234133.9417
MEM 144.109375 1758234134.0521
MEM 144.109375 1758234134.1635
MEM 144.113281 1758234134.2743
MEM 144.113281 1758234134.3863
MEM 144.113281 1758234134.4908
MEM 144.113281 1758234134.6023
MEM 144.113281 1758234134.7130
MEM 144.113281 1758234134.8238
MEM 144.113281 1758234134.9348
MEM 144.113281 1758234135.0396
MEM 144.113281 1758234135.1516
MEM 144.113281 1758234135.2640
MEM 144.113281 1758234135.3755
MEM 144.113281 1758234135.4856
MEM 144.113281 1758234135.5876
MEM 144.113281 1758234135.6991
MEM 144.113281 1758234135.8106
MEM 144.113281 1758234135.9219
MEM 144.113281 1758234136.0334
MEM 144.113281 1758234136.1372
MEM 144.113281 1758234136.2486
MEM 144.113281 1758234136.3605
MEM 144.113281 1758234136.4720
MEM 144.113281 1758234136.5832
MEM 144.113281 1758234136.6869
MEM 144.113281 1758234136.7980
MEM 144.113281 1758234136.9097
MEM 144.113281 1758234137.0208
MEM 144.113281 1758234137.1263
MEM 144.113281 1758234137.2369
MEM 144.113281 1758234137.3478
MEM 144.113281 1758234137.4590
MEM 144.113281 1758234137.5604
MEM 144.113281 1758234137.6617
MEM 144.113281 1758234137.7749
MEM 144.113281 1758234137.8771
MEM 144.113281 1758234137.9784
MEM 144.113281 1758234138.0788
MEM 144.113281 1758234138.1909
MEM 144.113281 1758234138.2935
MEM 144.113281 1758234138.3939
MEM 144.113281 1758234138.5006
MEM 144.113281 1758234138.6048
MEM 144.113281 1758234138.7090
MEM 144.113281 1758234138.8125
MEM 144.113281 1758234138.9234
